,user_1,user_2
0,16341886,15580519
1,16341886,15107092
2,16341886,14958660
3,16341886,15473639
4,16341886,20458869
5,16341886,15273193
6,16341886,22894757
7,16341886,16537509
8,16341886,22587650
9,16341886,22418072
10,16341886,22578903
11,16341886,22959470
12,16341886,23121797
13,16341886,23129051
14,16341886,22197630
15,16341886,22894864
16,16341886,22246161
17,16341886,22245848
18,16341886,22529738
19,16341886,22389224
20,16341886,22246150
21,16341886,22246145
22,16341886,22326851
23,16341886,22852526
24,16341886,22888209
25,16341886,22938617
26,16341886,22518394
27,16341886,22246111
28,16341886,22895205
29,16341886,22464226
30,16341886,22894965
31,16341886,18673759
32,16341886,19080569
33,16341886,22561083
34,16341886,15992521
35,16341886,22554523
36,16341886,20329952
37,16341886,22354961
38,16341886,22057916
39,16341886,22077033
40,16341886,22528724
41,16341886,22973082
42,16341886,22545770
43,16341886,22872638
44,16341886,22546245
45,16341886,22806670
46,16341886,22352813
47,16341886,22473652
48,16341886,22895118
49,16341886,22414314
50,16341886,22530945
51,16341886,22900703
52,16341886,22900708
53,16341886,21929150
54,16341886,21420496
55,16341886,22595940
56,16341886,22198100
57,16341886,22242721
58,16341886,22086826
59,16341886,22075313
60,16341886,23241237
61,16341886,18290998
62,16341886,22617710
63,16341886,21181475
64,16341886,22476915
65,16341886,22885041
66,16341886,22343080
67,16341886,22080506
68,16341886,11421210
69,16341886,23248286
70,16341886,22375695
71,16341886,23307997
72,16341886,22230013
73,16341886,23315319
74,16341886,19323257
75,14048482,20984105
76,14048482,21139617
77,14048482,15610658
78,14048482,12246132
79,14048482,15788793
80,14048482,23270801
81,20940019,19080569
82,20940019,20546812
83,15580519,16341886
84,15580519,15473639
85,15580519,16537509
86,15580519,18672718
87,15580519,22418072
88,15580519,22246161
89,15580519,22246145
90,15580519,22888209
91,15580519,23209629
92,15580519,16087160
93,15580519,18673759
94,15580519,19080569
95,15580519,13174584
96,15580519,22354961
97,15580519,22806670
98,15580519,22530945
99,15580519,12142323
100,15580519,22644113
101,15580519,18290998
102,15580519,23023397
103,15580519,22617710
104,15580519,22080506
105,15580519,22244020
106,15580519,19217238
107,15580519,23146061
108,15580519,22230023
109,15580519,22230013
110,18007988,18672718
111,18007988,20781124
112,18007988,22221563
113,16668054,22894757
114,16668054,22578903
115,16668054,22959470
116,16668054,22074800
117,16668054,23129051
118,16668054,22197630
119,16668054,22894864
120,16668054,22246161
121,16668054,22245848
122,16668054,22389224
123,16668054,22246150
124,16668054,22246145
125,16668054,22326851
126,16668054,22852526
127,16668054,22888209
128,16668054,22938617
129,16668054,22518394
130,16668054,22246111
131,16668054,22583119
132,16668054,22895205
133,16668054,22464226
134,16668054,22894965
135,16668054,22561083
136,16668054,22554523
137,16668054,20329952
138,16668054,22354961
139,16668054,22057916
140,16668054,22077033
141,16668054,22528724
142,16668054,22973082
143,16668054,22545770
144,16668054,22872638
145,16668054,22546245
146,16668054,22352813
147,16668054,22473652
148,16668054,22895118
149,16668054,22414314
150,16668054,22530945
151,16668054,22414321
152,16668054,20912929
153,16668054,22595940
154,16668054,22198100
155,16668054,22242721
156,16668054,22086826
157,16668054,22075313
158,16668054,23241237
159,16668054,22617710
160,16668054,23248286
161,16668054,23307997
162,16668054,19323257
163,13558609,22418072
164,13558609,19377815
165,13558609,19080569
166,13558609,22900703
167,13558609,22900708
168,13558609,22644113
169,13558609,21181475
170,13558609,20546812
171,13558609,23303573
172,13558609,22230013
173,13558609,23315319
174,13558609,23283270
175,12067608,19080569
176,12067608,18290998
177,15107092,16341886
178,15107092,14958660
179,15107092,15473639
180,15107092,20458869
181,15107092,15273193
182,15107092,22894757
183,15107092,22465973
184,15107092,16082189
185,15107092,15610658
186,15107092,22587650
187,15107092,22418072
188,15107092,22578903
189,15107092,22959470
190,15107092,23121797
191,15107092,22074800
192,15107092,23129051
193,15107092,22197630
194,15107092,22894864
195,15107092,22246161
196,15107092,22245848
197,15107092,22529738
198,15107092,22389224
199,15107092,22246150
200,15107092,22246145
201,15107092,22326851
202,15107092,22852526
203,15107092,22888209
204,15107092,22938617
205,15107092,22518394
206,15107092,22246111
207,15107092,22583119
208,15107092,22895205
209,15107092,22464226
210,15107092,22894965
211,15107092,16087160
212,15107092,18673759
213,15107092,19080569
214,15107092,22561083
215,15107092,13174526
216,15107092,13174584
217,15107092,22554523
218,15107092,20329952
219,15107092,22354961
220,15107092,22057916
221,15107092,22077033
222,15107092,22528724
223,15107092,22973082
224,15107092,22545770
225,15107092,22872638
226,15107092,22546245
